nom;code_postal;longitude;latitude
aubigny-aux-kaisnes;2590;708648;6964571
aubigny-en-laonnois;2820;757972;6933699
audignicourt;2300;709424;6931187
audigny;2120;746782;6972549
augy;2220;737807;6914616
aulnois-sous-laon;2000;743378;6946923
les autels;2360;788663;6964142
autremencourt;2250;757747;6955953
autreppes;2580;761116;6978251
autreville;2300;716641;6942331
azy-sur-marne;2400;727073;6877850
bagneux;2290;720302;6930103
bancigny;2140;773483;6967265
barbonval;2160;748694;6916923
barenton-bugny;2000;746984;6948064
barenton-cel;2000;745520;6950278
barenton-sur-serre;2270;749114;6952534
barzy-en-thiérache;2170;753789;6992650
barzy-sur-marne;2850;740182;6886823
bassoles-aulers;2380;727521;6936809
baulne-en-brie;2330;745383;6875740
beaumé;2500;782799;6970733
beaumont-en-beine;2300;709384;6955669
beaurevoir;2110;721528;6989095
beaurieux;2160;753003;6922524
beautor;2800;723844;6950146
beauvois-en-vermandois;2590;707201;6969021
belleau;2400;721909;6888949
bellenglise;2420;717968;6980177
belleu;2200;723974;6918991
bellicourt;2420;716521;6983512
benay;2440;723076;6961272
bergues-sur-sambre;2450;751637;6992630
berlise;2340;780892;6952896
bernot;2120;735972;6974696
berny-rivière;2290;710887;6924514
berrieux;2820;761620;6931511
berry-au-bac;2190;765346;6922651
bertaucourt-epourdon;2800;727473;6946824
berthenicourt;2240;727392;6963518
bertricourt;2190;772634;6920514
berzy-le-sec;2200;723266;6914539
besmé;2300;712312;6936756
besmont;2500;780639;6970702
besny-et-loizy;2870;741948;6944686
béthancourt-en-vaux;2300;710844;6946768
beugneux;2210;730595;6903449
beuvardes;2130;735020;6894575
bézu-le-guéry;2310;716823;6880035
bézu-st-germain;2400;729212;6888982
bichancourt;2300;715918;6942329
bieuxy;2290;719585;6927875
bièvres;2860;752175;6933643
billy-sur-aisne;2200;727607;6919008
billy-sur-ourcq;2210;721858;6902296
blanzy-lès-fismes;2160;748713;6914698
blérancourt;2300;710865;6935641
blesmes;2400;732908;6881216
bohain-en-vermandois;2110;732305;6986920
bois-lès-pargny;2270;746901;6958080
boncourt;2350;768681;6947171
bonneil;2400;725610;6877843
bonnesvalyn;2400;723360;6891179
bony;2420;715793;6986850
bosmont-sur-serre;2250;762763;6959345
boué;2450;750213;6991504
bouffignereux;2160;761751;6919274
bouresches;2400;721921;6885613
bourg-et-comin;2160;747194;6922473
bourguignon-sous-coucy;2300;712307;6938982
la bouteille;2140;769785;6975011
braine;2220;738534;6914621
brancourt-en-laonnois;2320;730424;6935711
brancourt-le-grand;2110;727285;6985780
branges;2130;736395;6907932
brasles;2400;731433;6883432
braye-en-laonnois;2000;744990;6925793
braye-en-thiérache;2140;769908;6964994
bray-st-christophe;2480;710813;6963462
braye;2880;726849;6925679
brécy;2210;731372;6894554
brenelle;2220;738504;6919071
breny;2210;725521;6897862
brissay-choigny;2240;726698;6957949
brumetz;2810;710954;6888918
brunehamel;2360;785059;6964087
bruyères-sur-fère;2130;731354;6897891
bruyères-et-montbérault;2860;748533;6935836
bruys;2220;741490;6907967
bucilly;2500;777683;6976227
bucy-le-long;2880;727591;6922345
bucy-lès-cerny;2870;737624;6942431
bucy-lès-pierrepont;2350;765029;6950467
buire;2500;775496;6978424
buironfosse;2620;759597;6986028
burelles;2140;764864;6964934
bussiares;2810;718264;6886712
buzancy;2200;725452;6913435
caillouël-crépigny;2300;710844;6946768
castres;2680;716570;6966815
le catelet;2420;717940;6989083
caulaincourt;2490;707194;6974587
caumont;2300;713013;6946773
celles-lès-condé;2330;741691;6880161
celles-sur-aisne;2370;734838;6924610
cerizy;2240;723797;6961275
cerny-en-laonnois;2860;748599;6928048
cerny-lès-bucy;2870;738347;6942435
cerseuil;2220;737807;6914616
cessières;2320;734736;6941300
chacrise;2200;729099;6911228
chaillevois;2000;737668;6935754
chalandry;2270;745494;6953617
chambry;2000;747011;6944726
chamouille;2860;748580;6930273
champs;2670;718106;6936772
chaourse;2340;772183;6956118
la chapelle-monthodon;2330;746079;6880194
la chapelle-sur-chézy;2570;727831;6872293
le charmel;2850;740151;6891272
charmes;2800;727457;6950162
chartèves;2400;736529;6886799
chassemy;2370;736318;6920169
château-thierry;2400;729240;6883421
châtillon-lès-sons;2270;749037;6961437
châtillon-sur-oise;2240;728829;6964638
chaudardes;2160;756655;6920334
chaudun;2200;719634;6913412
chauny;2300;715905;6946780
chavignon;2000;737697;6931304
chavigny;2880;721769;6925658
chavonne;2370;741386;6922428
chérêt;2860;749258;6935842
chermizy-ailles;2860;752931;6930312
chéry-chartreuve;2220;745130;6907994
chéry-lès-pouilly;2000;743353;6950261
chéry-lès-rozoy;2360;777927;6958420
chevennes;2250;752571;6969260
chevregny;2000;742055;6930221
chevresis-monceau;2270;741105;6961374
chézy-en-orxois;2810;713137;6892259
chézy-sur-marne;2570;727083;6875625
chierry;2400;731445;6881208
chigny;2120;755343;6980418
chivres-en-laonnois;2350;761440;6948201
chivres-val;2880;731221;6922364
chivy-lès-etouvelles;2000;742014;6935785
chouy;2210;718222;6900059
cierges;2130;743758;6896860
cilly;2250;759877;6959314
ciry-salsogne;2220;734145;6919043
clacy-et-thierret;2000;741265;6939117
clairfontaine;2260;770353;6987264
clamecy;2880;726849;6925679
clastres;2440;716592;6959024
clermont-les-fermes;2340;768614;6952735
coeuvres-et-valsery;2600;710906;6914502
cohan;2130;747359;6902450
coincy;2210;730631;6896775
coingt;2360;777836;6965097
colligis-crandelain;2860;747121;6931374
colonfay;2120;750381;6972579
commenchon;2300;712288;6947884
concevreux;2160;756655;6920334
condé-en-brie;2330;740244;6877926
condé-sur-aisne;2370;732673;6922372
condé-sur-suippe;2190;768949;6924919
condren;2700;720243;6946794
connigis;2330;738758;6881253
contescourt;2680;716570;6966815
corbeny;2820;759456;6930376
corcy;2600;716020;6905614
coucy-lès-eppes;2840;755744;6939240
coucy-la-ville;2380;723900;6936793
coupru;2310;719744;6881156
courbes;2800;732496;6953528
courboin;2330;736585;6877902
courchamps;2810;719710;6891166
courmelles;2200;723257;6916763
courmont;2130;741587;6894619
courtemont-varennes;2850;740189;6885711
courtrizy-et-fussigny;2820;757950;6935924
couvrelles;2220;734885;6916822
couvron-et-aumencourt;2270;737572;6950220
coyolles;2600;703642;6903368
cramaille;2130;732781;6903461
craonne;2160;756600;6925896
craonnelle;2160;755874;6925889
crécy-au-mont;2380;723198;6931227
crécy-sur-serre;2270;744754;6955837
crézancy;2650;736550;6883463
croix-fonsommes;2110;728750;6980221
la croix-sur-ourcq;2210;725526;6896750
crouy;2880;726864;6922342
crupilly;2120;753905;6980404
cuffies;2880;723225;6924551
cugny;2480;710827;6955671
cugny-lès-crouttes;2210;727698;6900097
cuirieux;2350;759214;6953742
cuiry-housse;2220;734919;6911260
cuiry-lès-chaudardes;2160;755929;6920327
cuissy-et-geny;2160;750805;6924729
cuisy-en-almont;2200;718145;6924533
cutry;2600;713082;6916731
cys-la-commune;2220;741386;6922428
dagny-lambercy;2140;774247;6963936
dallon;2680;716563;6969041
dammard;2470;714592;6894487
dampleux;2600;710922;6905602
danizy;2800;727457;6950162
dercy;2270;749085;6955872
deuillet;2700;725299;6947927
dhuizel;2220;745042;6919118
dizy-le-gros;2340;773727;6948347
dohis;2360;781487;6961809
dolignon;2360;777927;6958420
dommiers;2600;715995;6914514
domptin;2310;720480;6880047
dorengt;2450;748826;6985925
douchy;2590;708650;6963458
dravegny;2130;745893;6903550
droizy;2210;727655;6908996
ebouleau;2350;762836;6952668
effry;2500;771859;6981717
englancourt;2260;757499;6980440
epagny;2290;718127;6930096
eparcy;2500;776979;6975104
epaux-bézu;2400;725560;6888964
epieds;2400;732863;6889001
l' epine-aux-bois;2540;733003;6864536
eppes;2840;752849;6939213
erlon;2250;751952;6958124
erloy;2260;758959;6978228
escaufourt;59360;734412;6994726
esquéhéries;2170;753842;6987084
essigny-le-grand;2690;720184;6963487
essigny-le-petit;2100;726604;6977984
essises;2570;730749;6874532
essômes-sur-marne;2400;727057;6881186
estrées;2420;720105;6985750
etampes-sur-marne;2400;730714;6881204
etaves-et-bocquiaux;2110;732337;6981354
etouvelles;2000;742006;6936897
etréaupont;2580;766149;6978307
etreillers;2590;710802;6969027
etrépilly;2400;724109;6886734
etreux;2510;746663;6987020
evergnicourt;2190;774740;6926104
fargniers;2700;723121;6950143
faucoucourt;2320;734039;6936844
fayet;2100;717986;6974611
la fère;2800;726724;6952385
fère-en-tardenois;2130;737902;6900155
la ferté-chevresis;2270;741121;6959148
la ferté-milon;2460;708751;6896700
festieux;2840;754328;6935888
fieulaine;2110;732369;6975788
filain;2000;739880;6930206
la flamengrie;2260;766020;6989439
flavy-le-martel;2520;714431;6957905
fluquières;2590;710806;6966801
folembray;2670;720271;6939004
fonsommes;2110;728761;6977995
fontaine-lès-clercs;2680;715849;6966813
fontaine-lès-vervins;2140;764775;6972725
fontaine-notre-dame;2110;730930;6975780
fontaine-uterte;2110;726593;6980211
fontenelle;2170;762395;6992738
fontenelle-en-brie;2540;735176;6868997
fontenoy;2290;714516;6924522
foreste;2590;707201;6969021
fossoy;2650;735088;6883453
fourdrain;2870;733993;6944633
francilly-selency;2760;716554;6972380
fresnes-en-tardenois;2130;740127;6894609
fresnoy-le-grand;2230;730169;6983568
fressancourt;2800;730365;6946839
frières-faillouël;2700;718056;6952351
froidestrées;2260;764673;6981630
froidmont-cohartille;2270;750548;6953659
gandelu;2810;713145;6888923
gauchy;2430;719444;6969050
gercy;2140;762653;6969362
gergny;2260;766123;6980534
germaine;2590;708648;6964571
gernicourt;2160;763167;6922627
gibercourt;2440;720200;6959035
gizy;2350;755690;6944804
gland;2400;734357;6883449
glennes;2160;752327;6916955
goussancourt;2130;748864;6896901
grandlup-et-fay;2350;752725;6952566
grandrieux;2360;785125;6959636
gricourt;2100;717982;6975724
grisolles;2210;725536;6894525
gronard;2140;763422;6964918
grougis;2110;738086;6981389
grugies;2680;719452;6966824
guignicourt;2190;770387;6926049
guise;2120;745298;6978103
guivry;2300;708670;6950103
guny;2300;719558;6935664
guyencourt;2160;760322;6917033
hannapes;2510;744518;6985889
happencourt;2480;712973;6964579
haramont;2600;703638;6908930
harcigny;2140;770601;6967229
harly;2100;723040;6970177
hartennes-et-taux;2210;725476;6907873
hary;2140;767026;6964959
le haucourt;2420;720125;6980184
hautevesnes;2810;716790;6891157
hauteville;2120;737411;6974706
haution;2140;759737;6972670
la hérie;2500;775526;6976198
le hérie-la-viéville;2120;745369;6969198
hinacourt;2440;720200;6959035
hirson;2500;777623;6980679
holnon;2760;715828;6974604
homblières;2720;726630;6972419
houry;2140;761260;6964894
housset;2250;750450;6964788
iron;2510;748127;6983692
itancourt;2240;725215;6966847
iviers;2360;781439;6965147
jaulgonne;2850;738721;6886813
jeancourt;2490;710779;6981272
jeantes;2140;775644;6967294
joncourt;2420;721549;6983529
jouaignes;2220;736374;6911269
jouy;2370;736268;6927957
jumencourt;2380;725353;6935687
jumigny;2160;752256;6924742
jussy;2480;716596;6957911
juvigny;2880;723212;6927889
juvincourt-et-damary;2190;765282;6928214
laffaux;2880;730465;6927923
